dia,mes,dia_mes,dia_da_semana,quantidade,modelo
159,jun,8,qua,2,amarok
160,jun,9,qui,4,"gol, strada, prisma"
161,jun,10,sex,4,"fiesta, corolla, tiguan"
162,jun,11,sab,1,fox
163,jun,12,dom,0,na
164,jun,13,seg,2,"agile, uno"
165,jun,14,ter,0,na
166,jun,15,qua,1,fiesta
167,jun,16,qui,0,na
168,jun,17,sex,5,"fox, polo"
169,jun,18,sab,0,na
170,jun,19,dom,0,na
171,jun,20,seg,0,na
172,jun,21,ter,0,na
173,jun,22,qua,0,na
174,jun,23,qui,1,golf
175,jun,24,sex,0,na
176,jun,25,sab,0,na
177,jun,26,dom,0,na
178,jun,27,seg,0,na
179,jun,28,ter,0,na
180,jun,29,qua,1,"tracker, gol"
181,jun,30,qui,0,na
182,jul,1,sex,1,vectra
183,jul,2,sab,,
184,jul,3,dom,,
185,jul,4,seg,,
186,jul,5,ter,,
187,jul,6,qua,,
188,jul,7,qui,,
189,jul,8,sex,,
190,jul,9,sab,,
191,jul,10,dom,,
192,jul,11,seg,,
193,jul,12,ter,,
194,jul,13,qua,,
195,jul,14,qui,,
196,jul,15,sex,,
197,jul,16,sab,,
198,jul,17,dom,,
199,jul,18,seg,,
200,jul,19,ter,,
201,jul,20,qua,,
202,jul,21,qui,,
203,jul,22,sex,,
204,jul,23,sab,,
205,jul,24,dom,,
206,jul,25,seg,,
207,jul,26,ter,,
208,jul,27,qua,,
209,jul,28,qui,,
210,jul,29,sex,,
211,jul,30,sab,,
212,jul,31,dom,,
213,ago,1,seg,,
214,ago,2,ter,,
215,ago,3,qua,,
216,ago,4,qui,,
217,ago,5,sex,,
218,ago,6,sab,,
219,ago,7,dom,,
220,ago,8,seg,,
221,ago,9,ter,,
222,ago,10,qua,,
223,ago,11,qui,,
224,ago,12,sex,,
225,ago,13,sab,,
226,ago,14,dom,,
227,ago,15,seg,,
228,ago,16,ter,,
229,ago,17,qua,,
230,ago,18,qui,,
231,ago,19,sex,,
232,ago,20,sab,,
233,ago,21,dom,,
234,ago,22,seg,,
235,ago,23,ter,,
236,ago,24,qua,,
237,ago,25,qui,,
238,ago,26,sex,,
239,ago,27,sab,,
240,ago,28,dom,,
241,ago,29,seg,,
242,ago,30,ter,,
243,ago,31,qua,,
244,set,1,qui,,
245,set,2,sex,,
246,set,3,sab,,
247,set,4,dom,,
248,set,5,seg,,
249,set,6,ter,,
250,set,7,qua,,
251,set,8,qui,,
252,set,9,sex,,
253,set,10,sab,,
254,set,11,dom,,
255,set,12,seg,,
256,set,13,ter,,
257,set,14,qua,,
258,set,15,qui,,
259,set,16,sex,,
260,set,17,sab,,
261,set,18,dom,,
262,set,19,seg,,
263,set,20,ter,,
264,set,21,qua,,
265,set,22,qui,,
266,set,23,sex,,
267,set,24,sab,,
268,set,25,dom,,
269,set,26,seg,,
270,set,27,ter,,
271,set,28,qua,,
272,set,29,qui,,
273,set,30,sex,,
274,out,1,sab,,
275,out,2,dom,,
276,out,3,seg,,
277,out,4,ter,,
278,out,5,qua,,
279,out,6,qui,,
280,out,7,sex,,
281,out,8,sab,,
282,out,9,dom,,
283,out,10,seg,,
284,out,11,ter,,
285,out,12,qua,,
286,out,13,qui,,
287,out,14,sex,,
288,out,15,sab,,
289,out,16,dom,,
290,out,17,seg,,
291,out,18,ter,,
292,out,19,qua,,
293,out,20,qui,,
294,out,21,sex,,
295,out,22,sab,,
296,out,23,dom,,
297,out,24,seg,,
298,out,25,ter,,
299,out,26,qua,,
300,out,27,qui,,
301,out,28,sex,,
302,out,29,sab,,
303,out,30,dom,,
304,out,31,seg,,
305,nov,1,ter,,
306,nov,2,qua,,
307,nov,3,qui,,
308,nov,4,sex,,
309,nov,5,sab,,
310,nov,6,dom,,
311,nov,7,seg,,
312,nov,8,ter,,
313,nov,9,qua,,
314,nov,10,qui,,
315,nov,11,sex,,
316,nov,12,sab,,
317,nov,13,dom,,
318,nov,14,seg,,
319,nov,15,ter,,
320,nov,16,qua,,
321,nov,17,qui,,
322,nov,18,sex,,
323,nov,19,sab,,
324,nov,20,dom,,
325,nov,21,seg,,
326,nov,22,ter,,
327,nov,23,qua,,
328,nov,24,qui,,
329,nov,25,sex,,
330,nov,26,sab,,
331,nov,27,dom,,
332,nov,28,seg,,
333,nov,29,ter,,
334,nov,30,qua,,
335,dez,1,qui,,
336,dez,2,sex,,
337,dez,3,sab,,
338,dez,4,dom,,
339,dez,5,seg,,
340,dez,6,ter,,
341,dez,7,qua,,
342,dez,8,qui,,
343,dez,9,sex,,
344,dez,10,sab,,
345,dez,11,dom,,
346,dez,12,seg,,
347,dez,13,ter,,
348,dez,14,qua,,
349,dez,15,qui,,
350,dez,16,sex,,
351,dez,17,sab,,
352,dez,18,dom,,
353,dez,19,seg,,
354,dez,20,ter,,
355,dez,21,qua,,
356,dez,22,qui,,
357,dez,23,sex,,
358,dez,24,sab,,
359,dez,25,dom,,
360,dez,26,seg,,
361,dez,27,ter,,
362,dez,28,qua,,
363,dez,29,qui,,
364,dez,30,sex,,
365,dez,31,sab,,
